"ID_plot","Plant_SR","Plant_Cover","PlantHerb_SR","PlantHerb_Cover","PlantHerb_Shannon","Moss_SR","Moss_Cover","Legume_Cover","Legume_SR","Grass_Cover","Grass_SR","Forb_Cover","Forb_SR","TreeLegume_SR","TreeForb_SR","Phanerophyte_Cover","Phanerophyte_SR","Nanophanerophyte_Cover","Nanophanerophyte_SR","Cryptophyte_Cover","Cryptophyte_SR","Therophyte_Cover","Therophyte_SR","Chamaephyte_Cover","Chamaephyte_SR","Indigenous_Cover","Indigenous_SR","IndigenousHerb_Cover","IndigenousHerb_SR","Archeophyte_Cover","Archeophyte_SR","Neophyte_Cover","Neophyte_SR","NeophyteHerb_Cover","NeophyteHerb_SR","NeophyteHerb_Prop","Neophyte_Prop","Neophyte_RelCover","Indigenous_RelCover","Organism","Compartment","Decomposer_Abun","Decomposer_SR","Herbivores_Abun","Herbivores_SR","Pollinators_Abun","Pollinators_SR","Predators_Abun","Predators_SR","BG_Decomposer_Abun","BG_Decomposer_TR","BG_Herbivore_Abun","BG_Herbivore_TR","BG_Predator_Abun","BG_Predator_TR","Plants_insect.poll_SR","Plants_insect.poll_Cover","Herb_Neoph_insect.poll_SR","Herb_Neoph_insect.poll_Cover","Wildbees_oligolectic_SR","Wildbees_polylectic_SR"
"Brb_Nh_04",17,65.3,17,65.3,2.10804418729919,5,82,0,0,35,5,30.3,12,0,0,0,0,0,0,65.2,16,0.1,1,0,0,62.3,15,62.3,62.3,3,2,0,0,0,0,0,0,0,0.95405819295559,"Plant","Aboveground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,30.3,0,0,NA,NA
"Brb_Nl_02",34,94.9,33,94.8,2.58742727312634,4,51,7.1,6,54.1,8,33.6,19,0,1,0.1,1,0,0,93.7,31,1.1,2,0,0,82.7,26,82.7,82.7,11.1,6,1.1,2,1,1,0.0294117647058824,0.0588235294117647,0.0115911485774499,0.871443624868282,"Plant","Aboveground",127,9,110,15,NA,NA,346,84,NA,NA,NA,NA,NA,NA,27,40.9,1,1,NA,NA
"Brb_Nm_03",18,45.8,16,45.6,1.75772362451808,1,40,0,0,4.4,5,41.2,12,0,2,0.1,1,0.1,1,45.6,16,0,0,0,0,36.5,10,36.4,36.4,2.2,4,7.1,4,7,3,0.166666666666667,0.222222222222222,0.155021834061135,0.796943231441048,"Plant","Aboveground",5,1,265,21,109,27,178,44,NA,NA,NA,NA,NA,NA,12,31.4,3,7,1,20
"Brb_Oh_01",37,72.8,37,72.8,2.58770417615721,2,12,2.1,3,43,8,27.7,24,0,0,0.1,1,0,0,70.6,33,2,2,0,0,59.4,24,59.4,59.4,7.2,8,6.1,4,6.1,4,0.108108108108108,0.108108108108108,0.0837912087912088,0.815934065934066,"Plant","Aboveground",1,1,186,14,62,18,298,63,NA,NA,NA,NA,NA,NA,30,31.8,3,2.1,0,13
"Brb_Ol_03",35,77.3,35,77.3,2.55629050294023,2,21,1.3,4,14.2,6,61.8,24,0,0,0,0,0,0,76.1,32,1.1,2,0,0,68.5,22,68.5,68.5,7.7,11,1,1,1,1,0.0285714285714286,0.0285714285714286,0.0129366106080207,0.886157826649418,"Plant","Aboveground",153,5,533,22,102,18,578,88,NA,NA,NA,NA,NA,NA,29,63.1,1,1,1,9
"Brb_Ol_04",29,80.8,29,80.8,2.40656613813369,1,40,3.1,3,24.2,6,53.5,20,0,0,0,0,0,0,79.8,28,0,0,1,1,71.5,21,71.5,71.5,7.1,5,2.2,3,2.2,3,0.103448275862069,0.103448275862069,0.0272277227722772,0.88490099009901,"Plant","Aboveground",169,5,267,17,52,14,565,69,NA,NA,NA,NA,NA,NA,23,56.6,2,2.1,0,3
"Brb_Om_03",31,57.3,31,57.3,2.36273922557817,2,14,1.3,4,40.1,8,15.9,19,0,0,0,0,0,0,57.3,31,0,0,0,0,52.8,22,52.8,52.8,3.4,7,1.1,2,1.1,2,0.0645161290322581,0.0645161290322581,0.0191972076788831,0.921465968586387,"Plant","Aboveground",23,7,109,14,32,10,293,66,NA,NA,NA,NA,NA,NA,24,18.2,2,1.1,1,8
"Nh_02",34,64.6,34,64.6,2.11762631295615,5,16.1,3.3,6,45.2,8,16.1,19,0,0,4,1,0,0,60.5,32,0,0,0.1,1,59.3,27,59.3,59.3,5.2,6,0.1,1,0.1,1,0.0294117647058824,0.0294117647058824,0.00154798761609907,0.917956656346749,"Plant","Aboveground",28,3,145,15,19,13,507,82,NA,NA,NA,NA,NA,NA,26,17.5,1,0.1,0,8
"Nh_04",33,71.9,33,71.9,2.29142211620445,2,50,7.3,6,48.1,6,16.5,21,0,0,0,0,0,0,71.7,31,0.1,1,0.1,1,68.4,25,68.4,68.4,3.3,6,0.2,2,0.2,2,0.0606060606060606,0.0606060606060606,0.00278164116828929,0.951321279554937,"Plant","Aboveground",131,8,76,16,30,9,492,72,247,6,0,0,18,1,27,32.8,2,0.2,0,5
"Nh_05",32,121.2,32,121.2,1.99149710401857,2,2,9.4,9,65.2,8,46.6,15,0,0,0,0,0,0,116.1,28,0,0,5.1,4,113.9,26,113.9,113.9,5.2,4,2.1,2,2.1,2,0.0625,0.0625,0.0173267326732673,0.93976897689769,"Plant","Aboveground",17,8,182,18,50,16,852,64,238,7,3,2,48,1,25,56.1,2,2.1,1,10
