"","ID_plot","AGB_C","AGB_A","AGB_N","AGB_G","AGB_F","AGB_L","AGB_NG","AGB_AG","AGB_NF","AGB_AF","AGB_NL","BGB_C_total","BGB_C_fine","iWUE_C","iWUE_A","iWUE_N","iWUE_G","iWUE_F","iWUE_L","iWUE_NG","iWUE_NF","iWUE_AF","iWUE_NL","d15N_C","d15N_N","d15N_A","d15N_G","d15N_F","d15N_L","d15N_NG","d15N_NF","d15N_NL","d15N_AF","decomposition_s","decomposition_k","PollinationVisitCounts"
"Brb_Nl_02","Brb_Nl_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brb_Nm_03","Brb_Nm_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430
"Brb_Oh_01","Brb_Oh_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brb_Ol_03","Brb_Ol_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brb_Ol_04","Brb_Ol_04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brb_Om_03","Brb_Om_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nh_02","Nh_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nh_04","Nh_04",338.9,1.2,337.7,111.4,124.6,102.9,111.4,0,123.5,1.16,102.9,0.951666667,0.784,51.16,52.45,51.28,63.16,43.23,51.16,63.16,43.12,52.45,51.16,-3.468611633,-3.429150029,-6.0605169,-4.192920963,-3.248080183,-2.50185327,-4.192920963,-3.237092993,-2.50185327,-6.0605169,0.307565562,0.01015757,6
"Nh_05","Nh_05",334.3,0,334.3,262.8,42.5,29,262.8,0,42.5,0,29,1.890333333,1.844,52.33,NA,52.21,53.26,44.87,58.39,53.26,44.87,NA,58.39,-3.618746133,-3.616007609,NA,-3.805920217,-2.781829374,-3.412986375,-3.805920217,-2.781829374,-3.412986375,NA,NA,NA,11
"Nh_10","Nh_10",251.8,11.3,240.5,102.7,39.1,110,102.7,0,27.8,11.3,110,0.645666667,0.571333333,53.73,47.32,54.08,56.64,49.3,51.28,56.64,49.77,47.32,51.28,-5.049166067,-5.076340418,-5.05130212,-6.00608399,-5.758214745,-4.4724994,-6.00608399,-6.060332991,-4.4724994,-5.05130212,0.320809001,0.006907294,113
