"","Size_Patch","Seal_500","mean_tempNight_summer","Hanski3D_DryGr","ShDry_500","Plants_insect.poll_SR","Plants_insect.poll_Cover","Herb_Neoph_insect.poll_Cover","Herb_Neoph_insect.poll_SR","Wildbees_polylectic_SR","Pollinators_SR","Pollinators_Abun","Poll","Shannon"
"Brb_Nm_03",11.6191211817505,10.74488865,14.7351897777467,0.027820673,0.006042099,12,31.4,7,3,20,27,109,430,1.78116012656328
"Nh_04",9.62594655182122,15.03303403,14.9857607511048,0.010318997,0.005267181,27,32.8,0.2,2,5,9,30,6,2.29142211620445
"Nh_05",9.66766394806454,15.62042232,16.2946445484864,0.093499254,0.035179828,25,56.1,2.1,2,10,16,50,11,1.99149710401857
"Nh_10",9.47998346598844,38.45486093,15.6337275661359,0.346970183,0.148708775,25,49,11,2,4,9,12,113,2.25793897952263
"Nh_11",7.9294253263374,9.985880579,14.1809186863332,0.030377649,0.007433772,16,13,4.1,2,5,12,57,78,1.75810905485272
"Nh_201",5.81407082855032,22.64304139,15.377597423849,0.128032473,0.072362301,14,18.7,0.3,3,8,11,14,304,1.98939192849838
"Nl_03",6.87073853530286,15.55840432,14.4089146624964,0.040154743,0.005145043,31,43.2,2.1,3,3,11,84,6,2.76614387214754
"Nl_05",9.36096398185586,43.2063175,16.1922820346592,0.033981865,0.008277208,28,39.8,2.3,4,10,16,46,83,2.91811001916381
"Nl_14",6.40053979747028,62.77824415,16.9003608155265,0.006975067,0.001646794,24,42.2,32.3,6,9,15,50,27,2.10472410661298
"Nl_16",10.012139694842,10.042086,15.2932566322177,0.023541444,0,22,23.8,2.1,3,12,19,53,61,2.45394513911727
"Nl_200",8.6083018298214,61.55944794,16.7075976104826,0.00916758,0.000312974,24,43.2,0.1,1,14,23,62,41,2.99709046612508
"Nl_206",9.61268060273682,39.02503405,16.0493940115107,0.020066034,0,22,77,0.1,1,8,12,41,15,2.13832065663236
"Nl_208",8.62602427767079,51.75384685,16.5018471167963,0.08759891,0,26,27.4,1,1,4,10,15,10,2.27809676655333
"Nl_220",8.73179476368414,67.58884996,16.8429594396736,0.020408165,0.00150782,9,33.4,10.1,2,4,5,9,35,2.32874004997581
"Nm_05",9.24613792510461,42.11579112,15.1050085538748,0.067755556,0.021738411,23,28,4.2,3,3,8,20,60,1.91751933489776
"Nm_09",6.60995552834207,32.73133882,15.7753343999021,0.018649587,0.01398305,21,54.9,0,0,5,10,11,14,2.29883509665631
"Nm_201",7.32437790978618,65.20484527,17.4733714706057,0.054768521,0.01091989,20,55.5,0.2,2,4,6,7,1,2.75740141745251
"Nm_202",7.80474493776077,32.64042579,16.2346232237621,0.073630212,0.012150553,27,38.3,6.1,3,14,23,74,29,2.20888570549813
"Oh_01",8.61416562527412,10.96370594,14.5172399868654,0.074600988,0.024153631,17,30.6,0.1,1,7,16,32,96,2.52371119573373
"Oh_02",8.38432215213901,40.50267815,15.3983663484546,0.057209966,0.033180369,23,34.2,14.1,3,10,18,53,313,2.18494114690891
"Oh_03",9.85522282530053,6.112956613,14.8071158310534,0.015807513,0.065696386,25,37.5,1.2,3,3,6,52,30,2.01831157642817
"Oh_04",8.36210307045231,1.233163376,15.0045795808985,0.078472961,0.027434754,7,25,0,0,10,16,54,119,1.64700792439492
"Oh_12",9.7788179211186,6.692000501,15.6464758121697,0.099306606,0.053393742,18,33,2,1,11,17,56,79,2.2089628780713
"Ol_06",10.0557145260835,11.89397981,15.4393500692393,0.015095959,0.00595043,18,35.5,0.2,2,10,14,53,59,2.24318350810102
"Ol_55",8.86223574062521,7.534940189,15.2797595026156,0.050644849,0.009282912,37,38.8,0.2,2,8,13,42,90,2.64032656473635
"Om_05",8.58989145611344,1.190420833,15.2903210342635,0.081844897,0.022707274,24,42.1,0,0,10,17,74,175,1.67174335643604
"Om_08",8.6803574126685,18.68803831,15.5377420779572,0.020809849,0.015166346,24,31,0,0,5,10,54,73,2.56374788543956
"Om_15",9.74069152582694,0.228398343,14.0581156266702,0.028887877,0.01139472,16,33.6,0,0,10,16,50,37,2.1517184919288
